time,artist
17:00-,Open / Start
17:00-,マクト
17:30-,hitsujikai
18:00-,Ryu Ishizuka
18:30-,本家元祖総本家本店
19:00-,-30min breaktime-
19:30-,Mio / Kavu
20:15-,Conjaku(dj) / takuma hamamura(vj)
21:00-21:45,jo and<(dj) / sinking logic(vj)
